代码,名称,所属行业
A,安捷伦科技,诊断与研究
AAN,"Aaron's, Inc.",租赁服务
AAP,Advance Auto Parts,专业零售
AAPL,苹果,消费电子品
ABBV,艾伯维公司,药品制造商 - 一般
ABCB,ABC银行,银行 - 地区性
ABEV,Ambev SA,饮料 - 啤酒
ABG,阿斯伯里汽车,汽车和卡车经销权
ABM,反导工业,专业商务服务
ABNB,爱彼迎,旅游服务
ABR,阿伯房地产信托,房地产投资信托 - 抵押
ABT,雅培,医疗设备
ACA,Arcosa,工程建设
ACGL,艾奇资本,保险 - 多元化
ACHC,阿卡迪亚医疗保健,医疗设施
ACIC,American Coastal Insurance,保险 - 财产和伤亡
ACN,埃森哲,信息技术服务
ACVA,ACV Auctions,汽车和卡车经销权
ADBE,Adobe,软件 - 基础架构
ADEA,Adeia,软件 - 应用
ADI,亚德诺,半导体
ADM,Archer Daniels Midland,农产品
ADP,自动数据处理,人员配备和就业服务
ADPT,Adaptive Biotechnologies,生物技术
ADSK,欧特克,软件 - 应用
ADT,ADT Inc,安全与防护服务
ADTN,亚川,通讯设备
AEG,荷兰全球保险,保险 - 多元化
AEIS,先进能源工业,电气设备及零件
AEL,美国股票投资寿险,保险 - 人寿
AEM,伊格尔矿业,黄金
AEO,美鹰服饰,服装零售
AEP,美国电力,公用事业 - 受监管电力
AER,AerCap飞机租赁,租赁服务
AES,AES发电,公用事业 - 多元化
AFG,美国金融,保险 - 财产和伤亡
AFL,美国家庭寿险,保险 - 人寿
AGCO,爱科集团,农用及重型工程机械
AGI,Alamos Gold,黄金
AGL,Agilon Health,医疗设施
AGO,Assured Guaranty,保险 - 专业
AGRO,Adecoagro,农产品
AGS,PlayAGS,博彩
AGYS,阿吉赛斯,软件 - 应用
AHCO,AdaptHealth,医疗设备
AHH,Armada Hoffler Properties,房地产投资信托 - 多元化
AIG,美国国际集团,保险 - 多元化
AIR,AAR Corp,航空航天和国防
AJG,亚瑟加拉格尔,保险经纪人
AL,航空租赁公司,租赁服务
ALC,Alcon,医疗设备和用品
ALCC,AltC Acquisition,空壳公司
ALE,阿里特,公用事业 - 多元化
ALEX,亚历山大与鲍德温公司,房地产投资信托 - 零售
ALG,阿拉莫,农用及重型工程机械
ALGN,艾利科技,医疗设备
ALGT,忠诚旅游,航空公司
ALIT,Alight,软件 - 应用
ALK,阿拉斯加航空,航空公司
ALL,好事达,保险 - 财产和伤亡
ALLE,Allegion,安全与防护服务
ALLY,Ally Financial,信贷服务
ALNY,阿里拉姆制药,生物技术
ALRM,Alarm.com,软件 - 应用
ALSN,艾里逊变速箱,汽车零件
